Date,steel_rebar,hot_rolled_coil,iron_ore,usd_mxn,coal,steel_rebar_next
2022-08-19,642.0,787.0,105.63999938964844,20.130159378051758,24.73553466796875,641.0
2022-08-22,641.0,785.0,105.5199966430664,20.189050674438477,24.73553466796875,638.5
2022-08-23,638.5,784.0,105.56999969482422,20.12689971923828,24.73553466796875,645.5
2022-08-24,645.5,792.0,105.55000305175781,19.983680725097656,24.73553466796875,645.0
2022-08-25,645.0,793.0,105.3499984741211,19.902599334716797,24.73553466796875,643.0
2022-08-26,643.0,794.0,105.48999786376953,19.919099807739258,24.73553466796875,644.0
2022-08-30,644.0,790.0,104.91999816894531,19.984800338745117,24.73553466796875,643.64
2022-08-31,643.64,780.0,104.76000213623047,20.127300262451172,24.73553466796875,655.0
2022-09-01,655.0,781.0,96.29000091552734,20.186660766601562,24.73553466796875,670.0
2022-09-02,670.0,780.0,95.55000305175781,20.166900634765625,24.73553466796875,669.5
2022-09-05,669.5,780.0,95.55000305175781,19.970500946044922,24.73553466796875,668.0
2022-09-06,668.0,775.0,97.44000244140625,19.965599060058594,24.73553466796875,675.0
2022-09-07,675.0,800.0,97.19000244140625,20.131500244140625,24.73553466796875,674.5
2022-09-09,674.5,818.0,100.20999908447266,19.933500289916992,24.73553466796875,670.0
2022-09-12,670.0,805.0,101.41000366210938,19.859100341796875,24.73553466796875,660.0
2022-09-13,660.0,805.0,101.43000030517578,19.830020904541016,24.73553466796875,664.0
2022-09-14,664.0,793.0,100.43000030517578,20.03190040588379,24.73553466796875,663.0
2022-09-15,663.0,800.0,100.38999938964844,19.95159912109375,24.73553466796875,665.0
2022-09-16,665.0,789.0,99.26000213623047,20.08099937438965,24.73553466796875,665.0
2022-09-19,665.0,787.0,98.98999786376953,20.03022003173828,24.73553466796875,666.0
2022-09-20,666.0,798.0,98.80000305175781,19.903099060058594,24.73553466796875,669.0
2022-09-21,669.0,798.0,98.6500015258789,19.976299285888672,24.73553466796875,671.0
2022-09-22,671.0,798.0,98.83000183105469,20.044099807739258,24.73553466796875,672.0
2022-09-23,672.0,802.0,98.88999938964844,19.919200897216797,24.73553466796875,670.5
2022-09-26,670.5,799.0,99.01000213623047,20.211259841918945,24.73553466796875,673.0
2022-09-27,673.0,802.0,98.70999908447266,20.37074089050293,24.73553466796875,672.5
2022-09-28,672.5,786.0,98.5199966430664,20.368629455566406,24.73553466796875,671.0
2022-09-29,671.0,783.0,98.41999816894531,20.18494987487793,24.73553466796875,672.74
2022-09-30,672.74,776.0,98.30999755859375,20.12455940246582,24.73553466796875,690.0
2022-10-03,690.0,770.0,94.22000122070312,20.117389678955078,24.73553466796875,690.0
2022-10-04,690.0,774.0,95.20999908447266,20.00670051574707,24.73553466796875,685.0
2022-10-05,685.0,757.0,95.26000213623047,19.965190887451172,24.73553466796875,690.0
2022-10-06,690.0,750.0,95.45999908447266,20.03380012512207,24.73553466796875,686.0
2022-10-07,686.0,748.0,95.62000274658203,20.100099563598633,24.73553466796875,688.0
