Date,steel_rebar,usd_mxn,coal,iron_ore,hot_rolled_coil
2023-03-29,723.0,,,,
2023-03-30,721.5,,,,
2023-03-31,726.93,,,,
2023-04-03,682.0,,,,
2023-04-04,678.5,,,,
2023-04-05,688.0,,,,
2023-04-06,674.0,,,,
2023-04-11,680.0,,,,
2023-04-12,681.0,,,,
2023-04-13,680.0,,,,
2023-04-14,680.0,,,,
2023-04-17,681.5,,,,
2023-04-18,684.0,,,,
2023-04-19,679.0,,,,
2023-04-20,673.0,,,,
2023-04-21,672.0,,,,
2023-04-24,673.0,,,,
2023-04-25,680.0,,,,
2023-04-26,675.0,,,,
2023-04-27,676.5,,,,
2023-04-28,675.42,,,,
2023-05-02,615.0,,,,
2023-05-03,622.5,,,,
2023-05-04,621.0,,,,
2023-05-05,615.0,,,,
2023-05-09,610.0,,,,
2023-05-10,615.0,,,,
2023-05-11,616.0,,,,
2023-05-12,621.0,,,,
2023-05-15,616.0,,,,
2023-05-16,626.0,,,,
2023-05-17,632.5,,,,
2023-05-18,617.0,,,,
2023-05-19,614.5,,,,
2023-05-22,621.5,,,,
2023-05-23,622.0,,,,
2023-05-24,620.0,,,,
2023-05-25,620.0,,,,
2023-05-26,625.0,,,,
2023-05-30,621.5,,,,
2023-05-31,623.18,,,,
2023-06-01,610.0,,,,
2023-06-02,610.5,,,,
2023-06-05,614.5,,,,
2023-06-06,615.0,,,,
2023-06-07,611.0,,,,
2023-06-08,617.5,,,,
2023-06-09,615.5,,,,
2023-06-12,608.0,,,,
2023-06-13,620.5,,,,
2023-06-14,620.5,,,,
2023-06-15,619.5,,,,
2023-06-16,620.0,,,,
2023-06-19,607.5,,,,
2023-06-20,614.5,,,,
2023-06-21,613.5,,,,
2023-06-22,614.5,,,,
2023-06-23,613.5,,,,
2023-06-26,615.0,,,,
2023-06-27,617.5,,,,
2023-06-28,620.5,,,,
2023-06-29,619.0,,,,
2023-06-30,592.0,,,,
2023-07-03,591.5,,,,
2023-07-04,593.0,,,,
2023-07-05,588.0,,,,
2023-07-06,594.5,,,,
2023-07-07,580.0,,,,
2023-07-10,586.5,,,,
2023-07-11,585.5,,,,
2023-07-12,582.5,,,,
2023-07-13,578.0,,,,
2023-07-14,579.5,,,,
2023-07-17,574.5,,,,
2023-07-18,575.0,,,,
2023-07-19,575.0,,,,
2023-07-20,575.5,,,,
2023-07-21,577.0,,,,
2023-07-24,570.0,,,,
2023-07-25,578.5,,,,
2023-07-26,574.5,,,,
2023-07-27,578.5,,,,
2023-07-28,580.5,,,,
2023-07-31,563.5,,,,
2023-08-01,559.0,,,,
2023-08-02,551.5,,,,
2023-08-03,550.0,,,,
2023-08-04,548.5,,,,
2023-08-07,554.0,,,,
2023-08-08,550.0,,,,
2023-08-09,555.0,,,,
2023-08-10,555.0,,,,
2023-08-11,557.5,,,,
2023-08-14,555.0,,,,
2023-08-15,563.0,,,,
2023-08-16,564.0,,,,
2023-08-17,564.0,,,,
2023-08-18,562.5,,,,
2023-08-21,560.5,,,,
2023-08-22,558.5,,,,
2023-08-23,561.0,,,,
2023-08-24,556.0,,,,
2023-08-25,561.0,,,,
2023-08-29,558.5,,,,
2023-08-30,568.5,,,,
2023-08-31,564.5,,,,
2023-09-01,559.0,,,,
2023-09-04,559.5,,,,
2023-09-05,562.0,,,,
2023-09-06,559.5,,,,
2023-09-07,560.5,,,,
2023-09-08,560.5,,,,
2023-09-11,565.0,,,,
2023-09-12,572.0,,,,
2023-09-13,570.0,,,,
2023-09-14,570.5,,,,
2023-09-15,572.5,,,,
2023-09-18,565.0,,,,
2023-09-19,566.0,,,,
2023-09-20,567.0,,,,
2023-09-21,567.0,,,,
2023-09-22,570.0,,,,
2023-09-25,560.0,,,,
2023-09-26,562.0,,,,
2023-09-27,566.5,,,,
2023-09-28,565.0,,,,
2023-09-29,573.0,,,,
2023-10-02,569.0,,,,
2023-10-03,570.0,,,,
2023-10-04,572.0,,,,
2023-10-05,569.5,,,,
2023-10-06,571.0,,,,
2023-10-09,573.0,,,,
2023-10-10,567.0,,,,
2023-10-11,567.0,,,,
2023-10-12,562.0,,,,
2023-10-13,560.0,,,,
2023-10-16,560.5,,,,
2023-10-17,556.5,,,,
2023-10-18,560.0,,,,
2023-10-19,558.0,,,,
2023-10-20,557.0,,,,
2023-10-23,554.5,,,,
2023-10-24,553.0,,,,
2023-10-25,555.0,,,,
2023-10-26,559.0,,,,
2023-10-27,561.0,,,,
2023-10-30,555.0,,,,
2023-10-31,566.0,,,,
2023-11-01,565.0,,,,
2023-11-02,560.0,,,,
2023-11-03,559.5,,,,
2023-11-06,562.0,,,,
2023-11-07,567.0,,,,
2023-11-08,569.0,,,,
2023-11-09,565.0,,,,
2023-11-10,567.0,,,,
2023-11-13,565.0,,,,
2023-11-14,569.0,,,,
2023-11-15,565.5,,,,
2023-11-16,566.0,,,,
2023-11-17,566.0,,,,
2023-11-20,566.0,,,,
2023-11-21,566.0,,,,
2023-11-22,570.0,,,,
2023-11-23,570.0,,,,
2023-11-24,569.5,,,,
2023-11-27,568.5,,,,
2023-11-28,568.5,,,,
2023-11-29,573.0,,,,
2023-11-30,594.0,,,,
2023-12-01,599.0,,,,
2023-12-04,603.0,,,,
2023-12-05,599.0,,,,
2023-12-06,608.0,,,,
2023-12-07,608.0,,,,
2023-12-08,609.0,,,,
2023-12-11,607.0,,,,
2023-12-12,605.0,,,,
2023-12-13,604.5,,,,
2023-12-14,605.0,,,,
2023-12-15,600.0,,,,
2023-12-18,604.5,,,,
2023-12-19,600.5,,,,
2023-12-20,604.5,,,,
2023-12-21,599.5,,,,
2023-12-22,598.0,,,,
2023-12-27,601.5,,,,
2023-12-28,604.0,,,,
2023-12-29,600.0,,,,
2024-01-02,597.5,,,,
2024-01-03,595.0,,,,
2024-01-04,596.0,,,,
2024-01-05,594.5,,,,
2024-01-08,602.0,,,,
2024-01-09,600.0,,,,
2024-01-10,599.0,,,,
2024-01-11,602.5,,,,
2024-01-12,598.0,,,,
2024-01-15,601.0,,,,
2024-01-16,599.5,,,,
2024-01-17,605.0,,,,
2024-01-18,605.5,,,,
2024-01-19,602.0,,,,
2024-01-22,606.0,,,,
2024-01-23,610.0,,,,
2024-01-24,613.0,24.73553466796875,24.73553466796875,24.73553466796875,24.73553466796875
2024-01-25,610.0,24.499866485595703,24.499866485595703,24.499866485595703,24.499866485595703
2024-01-26,608.5,24.606897354125977,24.606897354125977,24.606897354125977,24.606897354125977
2024-01-29,613.0,24.77873992919922,24.77873992919922,24.77873992919922,24.77873992919922
2024-01-30,608.5,24.772850036621094,24.772850036621094,24.772850036621094,24.772850036621094
2024-01-31,620.0,24.64028549194336,24.64028549194336,24.64028549194336,24.64028549194336
2024-02-01,619.5,24.84551429748535,24.84551429748535,24.84551429748535,24.84551429748535
2024-02-02,615.0,24.499866485595703,24.499866485595703,24.499866485595703,24.499866485595703
2024-02-05,616.0,23.79285430908203,23.79285430908203,23.79285430908203,23.79285430908203
2024-02-06,613.5,23.449169158935547,23.449169158935547,23.449169158935547,23.449169158935547
2024-02-07,610.0,23.389270782470703,23.389270782470703,23.389270782470703,23.389270782470703
2024-02-08,613.0,23.449169158935547,23.449169158935547,23.449169158935547,23.449169158935547
2024-02-09,606.5,23.17913055419922,23.17913055419922,23.17913055419922,23.17913055419922
2024-02-12,607.0,23.365703582763672,23.365703582763672,23.365703582763672,23.365703582763672
2024-02-13,608.0,23.051475524902344,23.051475524902344,23.051475524902344,23.051475524902344
2024-02-14,606.5,23.295001983642578,23.295001983642578,23.295001983642578,23.295001983642578
2024-02-15,605.5,22.977828979492188,22.977828979492188,22.977828979492188,22.977828979492188
2024-02-16,609.5,22.869813919067383,22.869813919067383,22.869813919067383,22.869813919067383
2024-02-19,608.5,,,,
2024-02-20,607.0,22.359195709228516,22.359195709228516,22.359195709228516,22.359195709228516
2024-02-21,606.5,22.5487117767334,22.5487117767334,22.5487117767334,22.5487117767334
2024-02-22,605.0,22.93855094909668,22.93855094909668,22.93855094909668,22.93855094909668
2024-02-23,610.0,22.87668800354004,22.87668800354004,22.87668800354004,22.87668800354004
2024-02-26,605.5,23.091737747192383,23.091737747192383,23.091737747192383,23.091737747192383
2024-02-27,607.0,23.11235809326172,23.11235809326172,23.11235809326172,23.11235809326172
2024-02-28,605.0,22.347412109375,22.347412109375,22.347412109375,22.347412109375
2024-02-29,589.0,22.63021469116211,22.63021469116211,22.63021469116211,22.63021469116211
2024-03-01,585.0,23.152616500854492,23.152616500854492,23.152616500854492,23.152616500854492
2024-03-04,578.5,23.15458106994629,23.15458106994629,23.15458106994629,23.15458106994629
2024-03-05,569.0,23.233139038085938,23.233139038085938,23.233139038085938,23.233139038085938
2024-03-06,580.5,23.631813049316406,23.631813049316406,23.631813049316406,23.631813049316406
2024-03-07,577.0,24.013795852661133,24.013795852661133,24.013795852661133,24.013795852661133
2024-03-08,578.5,23.8144588470459,23.8144588470459,23.8144588470459,23.8144588470459
2024-03-11,574.0,23.147706985473633,23.147706985473633,23.147706985473633,23.147706985473633
2024-03-12,574.0,22.35624885559082,22.35624885559082,22.35624885559082,22.35624885559082
2024-03-13,580.5,22.26099967956543,22.26099967956543,22.26099967956543,22.26099967956543
2024-03-14,574.0,21.78965950012207,21.78965950012207,21.78965950012207,21.78965950012207
2024-03-15,576.5,21.715030670166016,21.715030670166016,21.715030670166016,21.715030670166016
2024-03-18,573.0,21.74056053161621,21.74056053161621,21.74056053161621,21.74056053161621
2024-03-19,582.0,22.074426651000977,22.074426651000977,22.074426651000977,22.074426651000977
2024-03-20,583.5,22.3709774017334,22.3709774017334,22.3709774017334,22.3709774017334
2024-03-21,583.0,22.4573917388916,22.4573917388916,22.4573917388916,22.4573917388916
2024-03-22,583.0,21.946773529052734,21.946773529052734,21.946773529052734,21.946773529052734
2024-03-25,583.0,22.04496955871582,22.04496955871582,22.04496955871582,22.04496955871582
2024-03-26,584.5,21.862323760986328,21.862323760986328,21.862323760986328,21.862323760986328
2024-03-27,588.5,22.253145217895508,22.253145217895508,22.253145217895508,22.253145217895508
2024-03-28,600.0,22.49666976928711,22.49666976928711,22.49666976928711,22.49666976928711
2024-04-02,596.0,22.311079025268555,22.311079025268555,22.311079025268555,22.311079025268555
2024-04-03,588.5,22.430877685546875,22.430877685546875,22.430877685546875,22.430877685546875
2024-04-04,585.0,22.216812133789062,22.216812133789062,22.216812133789062,22.216812133789062
2024-04-05,580.0,22.076391220092773,22.076391220092773,22.076391220092773,22.076391220092773
2024-04-08,581.0,22.377851486206055,22.377851486206055,22.377851486206055,22.377851486206055
2024-04-09,580.5,22.7706356048584,22.7706356048584,22.7706356048584,22.7706356048584
2024-04-10,582.0,22.869813919067383,22.869813919067383,22.869813919067383,22.869813919067383
